"otimism","frivolity","love","gloat","frustration","disaproval","envy","remorse","aggresiviness","rejection","rivalry","contempt","anxiety","awe","submission","coercion","desgosto"
2.11,-0.1,2,0,0,0,0,0,0.08,0,0,0,0,0,0,0,FALSE
2.08,0,2.3,0,0.06,-0.2,0.05,-0.41,0,0.01,0.07,0.01,0.13,-0.09,0.13,-0.09,FALSE
0.57,0,0.65,0,0.09,0,0.04,0,0,0,0,0,0.1,0,0.1,0,TRUE
1.71,0,1.71,0,0.25,-0.12,0.13,-0.22,0,-0.01,0,-0.11,0.21,0,0.21,0,TRUE
0,0,0,0,0,0,0,-1.64,0,0,0,-0.42,0.06,0,0.06,0,TRUE
1.78,-0.24,3.25,0,0,0,0,0,0,0,0,0,0.08,0,0.08,0,TRUE
1.83,0,1.87,0,-0.58,0,-0.51,0,0,0,0,0,-0.43,0,-0.43,0,FALSE
2.58,0,2.53,0,0.24,0,0.07,0,0,0,0,0,0.49,0,0.49,0,TRUE
2,0,1.86,0,0,0,0.16,-1.75,0.11,0,0,-0.12,0.05,0,-0.06,0,FALSE
1.44,0.14,4.08,0,0.09,0,0.04,0,0,0,0.13,0,0.47,0,0.39,0,TRUE
1.8,-0.14,3.41,0,0.19,0,-0.01,-0.1,0,0,0,-0.01,0.2,0,0.2,0,FALSE
1.92,-0.01,0,-0.13,0.1,0,0.21,-1.9,0,-0.01,0,-0.99,0,0,0,0,FALSE
0,0.05,1.49,0,-0.07,0,0,-1.89,0.09,0,0,-0.06,-0.01,0,-0.01,0,TRUE
0.18,0,0.11,0,0,0,0,0,0,0,0,0,0.07,0,0.07,0,FALSE
0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.11,0,TRUE
0.1,0.01,1.22,0,0.23,0,0.35,0,0,0,0,0,0.06,0,0.06,0,TRUE
0.33,0,0.41,0,0,0,0,0,0,0,0,0,-0.01,0,-0.01,0,TRUE
0,-0.01,0.12,0,0.28,-0.33,0.12,-0.38,0,0,0,0,0.39,-0.24,0.39,-0.24,FALSE
0.23,0,0.48,0,0,0,0,0,0,-0.1,0,-0.07,0.07,0,0.07,0,TRUE
1.66,0.1,1.31,-0.02,0,0,0,-0.49,0,0,0,0,0,0,0,-0.22,FALSE
0.12,0,0.1,0,0,0,0,0,0,0,0.28,-0.19,0.03,0,0.03,0,FALSE
0.38,0,0.44,0,0,0,0,-3.1,0,0,0,0.08,0.09,0,0.09,0,FALSE
0,0,1.73,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE
0,0,0,0,0.23,-0.19,0.15,-0.25,0,0,0,0,0.19,0,0.19,0,FALSE
3.5,0,3.67,0,0.28,0,0.4,-1.68,0,0,0,0.08,0.2,0,0.2,0,FALSE
0,-0.16,1.57,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
0,0.05,0.13,0,-0.12,0,0,-5.54,0,0.02,0.1,-0.13,0.16,0,0,0.16,TRUE
0,0,0,0,0,0,0,-3.82,0.12,0,0.1,-0.32,0.1,0,0.1,0,FALSE
1.91,0.21,3.54,0,0,0,0,-1.73,0,-0.05,0,-0.29,0.04,0,0.04,0,FALSE
0,0,0,0,0,0,0,-1.48,0,0,0,-0.01,0,0,0,0,FALSE
