"ecstasy","joy","serenity","pensiveness","sadness","grief","vigilance","anticipation","interest","distraction","surprise","amazement","rage","anger","annoyance","apprehension","fear","terror","admiration","trust","acceptance","boredom","disgust","loathing","class"
2.85,0,0.22,-0.04,0,0,0.85,0,0.52,-0.25,-0.66,0,0,0,0.09,-0.56,0,0,0.97,1.58,0.49,0,0,0,"Neutro"
0.7,0,0,0,0,-0.77,0.94,0,0,0,0,0,0.76,0,0,0,0,0,0.72,0,0,0,0,-0.86,"Neutro"
0.72,0,0,0,0,0,0,0,0,-0.05,-0.51,0,0,0,0,0,0,0,0,0.65,0.05,0,0,0,"Desgosto"
0,0,0.15,0,0,-0.78,0,0,0.36,0,0,0,0,0.58,0,0,0,0,0,0,0.34,0,0,-0.87,"Alegria"
0,0,0,-0.17,0,0,0,0,0.45,0,0,0,1.66,0,0,-0.24,0,0,0,0,0.39,0,0,-0.68,"Desgosto"
0.86,0.53,0,0,0,0,0,0,0.14,0,0,-1.66,0,0,0,-0.06,0,0,1.67,0,0.06,0,0,0,"Desgosto"
0.88,0,0.08,-0.03,0,-0.98,0,0,0.3,-0.07,-0.59,0,0,0,0.07,-0.16,0,0,0,0.53,0.28,-0.05,0,-0.94,"Neutro"
0,0,0,-0.52,0,0,0,0,0.23,0,0,0,0,0,0.02,-0.57,0,0,0,0,0.11,0,0,0,"Surpresa"
0.97,0.57,0,-0.14,0,-0.88,0,0,0.07,0,0,-0.72,0.86,0,0.02,0,0,0,0.97,0.52,0,0,0,-0.8,"Desgosto"
0,0,0.06,0,0,-0.89,0,0,0.08,0,0,0,0.93,0,0,0,0,0,0,0,0.24,0,-0.56,0,"Medo"
0.86,0,0.1,-0.11,0,0,0.84,0,0.53,0,0,0,0,0,0,-0.62,0,0,0,0,0.58,0,0,0,"Surpresa"
0.72,0,0,0,-0.47,-0.77,0,0.39,0,0,-0.51,0,0,0,0,-0.17,0,-0.74,0,0.65,0,-0.17,0,-0.72,"Desgosto"
0,0,0,-0.32,0,0,0,0,0.12,0,0,0,0.73,0,0,-0.32,0,0,0,0,0.07,-0.13,0,-0.76,"Tristeza"
0,0,0,0,0,0,0,0,0.15,0,0,0,0,0,0,-0.18,0,0,0,0,0.2,0,0,0,"Neutro"
0.95,0,0.04,0,-0.64,-0.73,0,0,0,-0.12,0,-0.73,1.74,0,0,0,0,0,0.78,0,0.05,-0.04,0,-2.49,"Tristeza"
0,0,0.13,-0.25,0,-0.99,0,0,0.49,0,0,0,0,0,0.01,-0.39,0,-0.8,0,0,0.46,0,0,0,"Tristeza"
0,0,0.13,0,0,-1.88,0,0,0.39,0,0,0,0,0.65,0.02,-0.22,0,-0.8,0,0,0.41,0,-0.51,-0.74,"Neutro"
2.4,0.57,0,0,0,0,1.47,0,0.37,0,-0.58,0,0,0,0,-0.36,-0.34,0,2.53,0.87,0.26,0,0,0,"Medo"
0,0,0.14,-0.15,0,0,0,0,0.14,0,0,0,0,0,0.01,-0.3,0,0,0,0,0.1,-0.15,0,0,"Neutro"
0,0,0.02,0,0,0,0,0,0.16,0,0,0,0.98,0,0.07,0,0,0,0,0,0.18,0,0,-0.89,"Neutro"
0,0,0,-0.1,0,-0.97,0,0,0.46,0,0,0,0.7,0,0,-0.17,0,0,0,0,0.41,-0.1,0,-0.96,"Tristeza"
1.86,0,0.28,-0.03,0,-0.91,1.59,0.41,0.5,0,0,0,0.85,0,0,-0.57,0,0,1.85,0.45,0.4,-0.09,0,-0.77,"Neutro"
1.74,0,0.07,-0.14,0,-0.92,0,0,0.21,0,-1.11,0,0.86,0,0.07,-0.05,0,0,0,1.23,0.34,0,0,-0.9,"Neutro"
0.84,0,0.22,0,0,-1.9,0,0.61,0.43,0,0,-0.94,0,0.54,0,-0.67,0,0,0.95,0,0.58,0,-0.55,-0.93,"Tristeza"
0,1.03,0,0,-0.38,-0.85,0,0.39,0.42,-0.05,-0.59,0,0.78,0,0,-0.22,-0.73,0,0.77,0,0.64,0,0,-0.9,"Neutro"
0.79,0.59,0.03,-0.31,0,0,0.87,0.65,0.91,-0.01,0,0,0.97,0,0.02,-0.86,0,0,0,0,1.27,-0.04,0,-0.91,"Neutro"
0,0,0.06,0,0,0,0,0,0.38,0,0,0,0,0,0,-0.07,0,0,0,0,0.24,0,0,0,"Tristeza"
0.93,0,0.51,-0.06,-0.44,-0.77,0.85,0,0.35,-0.17,0,0,0,0,0.01,-0.22,0,-0.74,0.97,0,0.59,-0.07,-0.41,-0.72,"Raiva"
0,0,0,0,-0.46,-1.69,0,0.41,0.12,0,0,0,0.7,0,0,-0.38,0,-0.8,0,0,0.3,-0.18,0,-0.72,"Tristeza"
0,0.66,0.1,0,0,0,0,0,0,-0.03,0,-0.82,0,0,0,0,0,0,0.95,0,0,-0.03,0,0,"Neutro"
0.88,0,0.09,0,-0.52,-0.7,0,0,0.22,-0.01,-0.59,0,0.78,0.52,0,-0.28,0,-0.75,0,0.53,0.32,0,0,-2.67,"Neutro"
