"ecstasy","joy","serenity","pensiveness","sadness","grief","vigilance","anticipation","interest","distraction","surprise","amazement","rage","anger","annoyance","apprehension","fear","terror","admiration","trust","acceptance","boredom","disgust","loathing","class"
0,0,1,3,0,0,0,0,2,2,0,0,0,0,0,4,0,0,0,0,3,1,0,0,"NeutroTristeza"
0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,1,1,0,0,"MedoSurpresa"
1,0,0,1,1,1,1,0,0,3,0,0,2,0,1,1,0,0,1,0,1,0,1,0,"NeutroSurpresa"
0,0,1,1,0,1,0,0,1,2,0,0,0,1,0,2,0,0,0,0,1,1,0,1,"DesgostoSurpresa"
2,0,2,1,0,0,0,0,1,2,1,1,0,0,1,4,0,0,0,2,1,1,0,1,"MedoTristeza"
0,1,0,5,0,0,0,1,3,2,0,0,0,0,0,5,0,1,0,0,5,0,0,1,"DesgostoTristeza"
1,0,0,2,0,0,0,1,1,0,0,1,0,0,0,3,0,0,1,1,1,0,0,0,"MedoSurpresa"
3,0,1,3,0,0,2,0,3,1,1,0,0,0,0,7,0,0,2,1,3,0,0,1,"MedoTristeza"
1,0,0,0,1,1,1,0,0,2,0,0,2,0,0,1,0,0,1,0,0,0,0,2,"DesgostoMedoRaiva"
0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,"MedoTristeza"
3,0,2,0,0,0,0,0,2,1,0,2,0,0,0,5,0,0,1,1,1,2,0,0,"Tristeza"
1,1,0,2,0,0,1,0,0,2,0,1,0,0,1,3,0,0,1,1,1,1,0,0,"DesgostoTristeza"
1,0,2,2,0,1,1,0,2,3,0,0,0,0,1,4,0,1,1,0,3,2,0,0,"RaivaTristeza"
1,1,0,3,0,1,1,1,0,4,0,0,1,1,1,3,0,0,1,0,1,2,0,2,"AlegriaSurpresa"
0,0,0,2,1,1,0,0,3,1,0,0,1,0,0,2,1,0,0,0,1,2,0,1,"Neutro"
0,2,4,5,0,1,0,0,7,4,0,1,0,1,1,10,0,0,1,0,8,2,1,0,"AlegriaTristeza"
1,0,0,1,0,2,0,0,1,2,0,1,0,1,1,1,0,1,1,0,1,0,0,2,"SurpresaTristeza"
1,0,1,1,1,2,0,1,2,2,0,1,1,0,1,3,0,1,0,1,1,2,0,2,"Tristeza"
1,0,1,4,2,0,1,1,4,2,0,0,1,0,1,6,0,0,0,1,2,4,0,1,"Tristeza"
0,0,1,2,0,1,0,0,1,3,0,0,2,0,0,2,0,0,0,0,2,0,0,2,"AlegriaDesgostoMedoTristeza"
1,1,0,1,1,2,1,1,1,3,0,0,1,1,1,3,0,0,1,0,2,0,1,2,"DesgostoSurpresaTristeza"
0,0,2,3,0,0,0,2,2,1,0,0,1,0,0,4,0,0,0,0,3,1,0,1,"MedoNeutroTristeza"
0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,1,1,0,0,"AlegriaNeutroSurpresa"
0,0,1,3,0,1,0,0,3,2,0,0,0,0,2,3,0,0,0,0,4,0,0,1,"Neutro"
0,1,4,0,0,1,0,1,3,2,0,0,0,0,0,6,0,0,0,1,4,0,0,1,"DesgostoSurpresaTristeza"
0,1,0,1,1,1,0,0,0,3,0,1,2,0,0,2,0,0,1,0,0,1,0,2,"DesgostoTristeza"
2,0,1,1,0,0,1,0,1,1,0,1,0,0,0,4,0,0,2,0,2,0,0,0,"SurpresaTristeza"
0,0,2,5,0,1,0,0,2,6,0,0,0,1,0,7,0,0,1,0,4,2,0,1,"NeutroSurpresa"
