"otimism","frivolity","love","gloat","frustration","disaproval","envy","remorse","aggresiviness","rejection","rivalry","contempt","anxiety","awe","submission","coercion","class"
0,-0.2,4.65,0,0.1,0,0.07,-1.65,0,0,0,-0.21,0.1,0,0.1,-0.98,"Neutro"
0,0,0,0,0,0,0,-1.91,0,0,0,-0.69,0.08,0,0.08,0,"Neutro"
0.2,0,0.42,0,0,0,0,-1.9,0,0,0,0,0.06,0,-0.04,-0.73,"Surpresa"
0.53,0,0.48,0,0,0,0,0,0,0,0,-0.19,0,0,0,0,"Surpresa"
0,0.14,1.81,0.07,-0.12,0,0,-0.69,0,0,0,0,0.18,0,0,0.18,"Neutro"
0.78,0,0.48,0,0.15,0,0.02,-2.67,1.12,0,0.06,0.03,0.34,0,0.29,-0.77,"Alegria"
0.11,0.03,0.17,0,0.19,0,-0.01,0,0,0,0,0,0.2,0,0.2,0,"Tristeza"
0,-0.16,1.57,0,0.05,0,0.13,0,0,0,0.25,0,-0.03,0,-0.03,0,"Alegria"
0.14,0,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0,"Neutro"
0.17,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Neutro"
0.28,0,1.76,0,0,0,0,0,0,0,0,0,0.19,0,0.19,0,"Neutro"
0.47,0,0.41,0,0.09,0,0.18,0,0,0,0,0,0.17,0,0.17,0,"Medo"
0.49,0,0.52,0,0,0,0,-1.29,0,0,0,-0.07,0.15,0,0.15,0,"Surpresa"
0,0.08,1.54,0,0.21,0,0.07,0,0,0,0,0,0.24,0,0.24,0,"Neutro"
0.58,0,0.74,0,0.32,0,0.29,-1.64,0,0,0,-0.42,0.15,0,0.15,0,"Tristeza"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Desgosto"
0,0,0,0,0,0,0,0,0,0,0,-0.01,0,0,0,0,"Neutro"
0,-0.22,1.29,0,0.09,0,0.01,-1.89,0,0,0,0.13,0.1,0,0.1,-0.17,"Medo"
1.04,0.08,2.73,0,0.02,0,0.03,-3.26,0,0,0,0.06,0.17,0,0.17,0,"Surpresa"
1.78,0.21,3.27,0,0,0,0,-1.65,0,0,0,-0.06,0.06,0,0.06,-0.22,"Tristeza"
1.78,-0.23,3.06,0,0.02,0,0,0,0,-0.06,0,-0.12,-0.03,0,0,0,"Surpresa"
0,-0.27,1.39,0,-0.49,0,0,-2.37,0,0,0,0.04,-0.08,0,0.09,-0.17,"Tristeza"
0.33,0,0.41,0,0,0,0,-0.15,0,0,0,0,0.16,0,0.16,-0.12,"Tristeza"
2.08,0,1.92,0,-0.02,0,0.08,-1.01,0.78,0,0,-0.01,-0.1,0,-0.1,-0.17,"Medo"
0.38,0.07,2.19,0,0.04,0,0,-0.07,0,0,0,0,-0.03,0,0,-0.03,"Neutro"
3.35,0,3.31,0,0.1,0,0.21,0,0,0,0,0,0,0,0,0,"Tristeza"
0.61,0.36,2.06,0,0,0,0,-1.91,0,0,0,-0.35,0.11,0,0.11,0,"Surpresa"
0,0,0,0,0.01,0,0,-3.54,0,0,0,-0.72,0.04,0,0.07,-0.99,"Surpresa"
0,0,0.13,0,0.55,0,0.53,0,0,0,0.11,0,0.15,0,0.15,0,"Alegria"
1.97,0.04,1.66,0,0,0,0,-0.35,0,0,0,-0.01,0.08,0,0.08,-0.14,"Neutro"
0,0,0,0,0.13,-0.07,0.17,-0.11,0,0,0,-0.04,0.02,0,0.02,0,"Surpresa"
0.18,0,0.18,0,-0.03,0,0,-3.47,0,0,0,-0.11,0.04,0,0.11,-0.07,"Neutro"
0.64,0,0.43,0,0,0,0,0,0,0,0,0,0.21,0,0.21,0,"Alegria"
1.88,0,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,"Tristeza"
0,0,0,0,0,0,0,-1.91,0,0,0,-0.35,0,0,0,0,"Neutro"
1.58,0,1.5,0,0,0,0,-1.87,0,0,0,-0.42,0,0,0,-0.17,"Medo"
0.13,0.31,1.76,0,-0.26,0,0,-0.6,0,0,0,0,0.03,0,0.01,0.02,"Medo"
2.47,-0.11,4.06,0,0,0,0,-3.55,0,0,0,-1.14,0.1,0,0.1,0,"Medo"
0.12,-0.04,0.15,0,-0.03,0,0,-2.11,0,0,0,-0.3,0.24,0,0,0.24,"Surpresa"
0,0.05,1.49,0,0.08,0,-0.05,-1.85,0,0,0,0,0.13,0,0.13,0,"Surpresa"
0.98,0,1.13,0,0,0,0,0,0.11,0.01,0.12,0.01,0.19,0,0.19,0,"Surpresa"
0.14,0,2.12,0,0.23,0,0.35,-2.3,0,0,1.73,0.01,0.09,0,0.09,-0.74,"Neutro"
0.13,0,0.16,0,-0.07,0,0,-1.85,0.09,0,0,0,-0.03,0,-0.03,0,"Neutro"
1.66,0,0,0,0,0,0,-2.19,0,0,0,-0.06,0.01,0,0.01,-0.22,"Neutro"
0.55,0.25,3.65,0,0.05,0,0.02,-1.29,0.09,0,0.06,0.01,0.14,0,0.14,0,"Neutro"
0,0,0,0,0.08,0,0.2,0,0,0,0,0.01,0.07,0,0.07,0,"Tristeza"
0.14,0,0.17,0,0.13,0,0.12,0,0.14,0,0.17,0,0.09,0,0.09,0,"Alegria"
0.68,0,0.2,0,0,-0.07,0,-2.01,0,0,0,-0.04,0.31,0,0.31,-0.73,"Desgosto"
0,0,0,0,0.14,0,0,-1.91,0,0,0,-0.35,0.25,0,0,0,"Tristeza"
1.96,0,2.04,0,0,0,0,0,0,0,0,-0.19,0.04,0,0.04,0,"Neutro"
1.87,0,1.87,0,0,0,0,-1.48,0,0,0,0.12,0.15,0,0.15,0,"Neutro"
0,-0.34,1.38,0,0,-0.05,0,-1.04,0,0,0.12,0.01,0,-0.06,0,-0.06,"Desgosto"
0,0.12,0,0.08,0,0,0,-1.28,0,0,0,0.33,0,0,0,0,"Surpresa"
0.5,0.08,1.96,0,0,0,0,-1.89,0,0,0,-0.06,0.05,0,0.05,0,"Neutro"
2.04,-0.23,3.43,0,0,0,0.03,0,0,0,0,0,0,0,-0.11,0,"Surpresa"
0.2,0,0.2,0,0,0,0,0,0,0,0,0,-0.03,0,-0.03,0,"Neutro"
0.26,0,0.2,0,0,0,0,0,0,0,0,0,0.14,0,0.03,0,"Surpresa"
1.92,-0.16,3.2,0,0.23,0,0.35,-0.07,0,-0.08,0,-0.23,0.22,0,0.22,0,"Surpresa"
0,-0.3,1.39,0,-0.49,0,0,-0.82,0,0,0,0,-0.17,0,0,-0.17,"Neutro"
0,0.06,2.94,0,0,0,0,-3.4,0,0,0,-0.08,0,0,0,-0.8,"Neutro"
0,-0.06,1.8,0,0,0,0,0,0,-0.09,0,0,0,0,0,0,"Desgosto"
0.34,-0.08,0.78,0,0,0,0,-1.51,0,0,0,0.01,0.27,-0.29,-0.02,0,"Desgosto"
0.14,0,0.23,0,0,0,0,0,0,0,0,-0.19,0.01,0,0.01,-0.94,"Neutro"
0,0,0,0,-0.09,0,-0.02,-1.57,0.18,0,0.25,-0.26,-0.1,0,-0.1,0,"Neutro"
0,0,0,0,0.21,0,0.07,0,0,0,0,0,0.29,0,0.29,0,"Neutro"
0.32,-0.04,1.5,0,0.12,0,-0.03,-1.38,0,0,0,-0.24,0.03,0,0.03,0,"Tristeza"
0.54,0,0.79,0,0,0,0,0,0,0.01,0,0.01,-0.13,0,-0.13,0,"Neutro"
0.5,0,0.49,0,0,0,0,0,0,0,0,0,0.05,0,0.05,0,"Neutro"
